# Agri-Monitor v5 data log
# study_id: TST1234
# operator: DAKS
# crop: Eng. Cucumber
# location: V
# planting: 2026-06-08
epoch_unix,uptime_ms,slot,plot_id,treatment,replicate,block,depth_cm,temp_c_x10,moist_pct_x10,moist_calib_x10,rssi_neg,flags,seq,temp_alert,moist_alert,sleep_interval_s
1780942176,15741271,2,P2,1,1,1,20,305,225,225,82,0,17154,,,300
1780942430,15994373,3,p3,1,1,1,20,310,227,227,83,0,16957,,,300
1780942451,16015531,1,P1,0,1,1,20,328,256,256,85,0,9307,,,300
1780942477,16041676,2,P2,1,1,1,20,305,225,225,82,0,17155,,,300
1780942730,16294877,3,p3,1,1,1,20,311,228,228,80,0,16958,,,300
1780942751,16315806,1,P1,0,1,1,20,329,256,256,80,0,9308,,,300
1780942777,16341953,2,P2,1,1,1,20,305,225,225,79,0,17156,,,300
1780943030,16595152,3,p3,1,1,1,20,311,227,227,82,0,16959,,,300
1780943051,16616253,1,P1,0,1,1,20,329,256,256,81,0,9309,,,300
1780943077,16642224,2,P2,1,1,1,20,305,225,225,82,0,17157,,,300
1780943331,16895440,3,p3,1,1,1,20,312,228,228,83,0,16960,,,300
1780943352,16916529,1,P1,0,1,1,20,330,257,257,82,0,9310,,,300
1780943378,16942630,2,P2,1,1,1,20,306,225,225,83,0,17158,,,300
1780943652,17216810,1,P1,0,1,1,20,331,257,257,81,0,9311,,,300
1780943678,17242907,2,P2,1,1,1,20,306,224,224,80,0,17159,,,300
1780943931,17496217,3,p3,1,1,1,20,312,228,228,83,0,16962,,,300
1780943952,17517088,1,P1,0,1,1,20,331,257,257,83,0,9312,,,300
1780943978,17543190,2,P2,1,1,1,20,306,224,224,87,0,17160,,,300
1780944253,17817453,1,P1,0,1,1,20,332,257,257,82,0,9313,,,300
1780944279,17843687,2,P2,1,1,1,20,306,224,224,82,0,17161,,,300
1780944531,95394,3,p3,1,1,1,20,313,228,228,83,0,16964,,,300
1780944551,116123,1,P1,0,1,1,20,332,257,257,84,0,9314,,,300
1780944578,142354,2,P2,1,1,1,20,307,224,224,81,0,17162,,,300
1780944831,395807,3,p3,1,1,1,20,313,228,228,83,0,16965,,,300
1780944852,416399,1,P1,0,1,1,20,333,257,257,82,0,9315,,,300
